Kab/Kota,IPM_2024,RLS_2024,P0_2024,D1_SPBE,D2_SPBE,D3_SPBE,D4_SPBE,Cluster
Aceh Barat,73.69,9.99,17.6,3,1.7,1.18,3.68,0
Aceh Barat Daya,68.75,8.78,15.32,3,2.1,1.45,3.75,0
Aceh Besar,75.13,10.37,13.21,2.7,1.1,1,3.51,0
Aceh Jaya,71.83,9.02,12.25,3.5,1.7,1,3.56,0
Aceh Selatan,69.1,8.92,12.02,2.9,2.1,1,3.69,0
Aceh Singkil,70.75,8.72,19.06,3,1.2,1,3.13,0
Aceh Tamiang,72.32,9.3,12.17,2.3,2.1,1.27,4.01,0
Aceh Tengah,75.41,10.03,14.27,2.3,1.5,1,3.62,0
Aceh Tenggara,71.7,10.1,11.99,1,1.5,1,3.55,0
Aceh Timur,69.87,8.48,13.26,1.4,1.1,1,3.87,0
Aceh Utara,71.7,9.11,16.11,2.2,1.1,1,1.58,0
Agam,74.66,9.23,6.83,2.6,1.8,1.45,3.37,0
Alor,63.82,8.61,19.87,2.4,1.2,1,3.11,0
Ambon,82.56,12.24,5.13,3.2,2.1,1,3.37,0
Asahan,72.09,8.85,8.12,2.9,2.1,1.82,3.64,0
Asmat,53.92,5.82,24.5,1,1.1,1,1,1
Badung,83.87,11.14,2.23,4.7,3.1,2.45,4.57,2
Balangan,71.34,8.13,4.87,4,2.8,1.64,4.07,2
Balikpapan,82.24,10.99,2.23,4.5,3.9,2.64,4.32,2
Banda Aceh,87.17,13.1,6.95,4,3.3,2.18,4.37,2
Bandar Lampung,79.19,10.99,7.37,2.9,2.4,2.55,3.48,2
Bandung,74.27,9.15,6.19,4.6,3.7,2.45,4.51,2
Kota Bandung,83.52,11.07,3.87,5,4.8,4.18,4.51,2
Bandung Barat,70.03,8.24,10.49,4.4,3.1,3.18,4.2,2
Banggai,72.32,8.81,6.56,5,2.9,2.18,4.07,2
Banggai Kepulauan,67.43,8.7,12.32,3.1,1.3,1.09,3.62,0
Banggai Laut,67.43,8.65,13.78,2,1.2,1.36,2.91,0
Bangka,73.98,8.45,4.24,2.5,1.8,1.36,3.95,0
Bangka Barat,70.67,7.48,2.59,3.8,2.5,2.18,3.69,2
Bangka Selatan,68.86,6.93,3.74,4.6,2.9,2.36,3.37,2
Bangka Tengah,71.9,7.24,5.94,4.7,4.3,2.55,4.31,2
Bangkalan,66.27,6.01,18.66,2.6,2.5,2,3.57,0
Bangli,71.34,7.58,5.06,2.2,2,1.09,3.82,0
Kota Banjar,73.64,8.83,5.85,3.5,3,1.82,4.57,2
Banjar,71.87,7.95,2.36,3,2,1,3.99,0
Banjar Baru,80.51,11,3.79,2.9,2.1,1.55,3.49,0
Banjarmasin,79.05,10.35,4.58,5,3.3,2.18,4.88,2
Banjarnegara,69.6,6.87,14.71,4.9,3.4,1.64,4.32,2
Bantaeng,71.48,7.26,8.26,4.9,3.3,1.82,4.13,2
Bantul,81.74,9.81,11.66,4,3.7,3.09,4.88,2
Banyu Asin,69.51,7.48,9.31,3.1,2.1,1,3.56,0
Banyumas,74.52,7.91,11.95,4.5,3.8,2.55,4.69,2
Banyuwangi,73.11,7.78,6.54,5,4.6,4.18,5,2
Barito Kuala,68.84,7.92,4.36,3.2,2.4,1.27,3.88,0
Barito Selatan,72.36,9.22,4.83,3.8,2.6,2.64,3.55,2
Barito Timur,73.26,9.54,6.66,3.1,1.7,1.73,3.75,0
Barito Utara,72.31,8.92,5.67,2.9,2.2,1.09,3.56,0
Barru,73.06,8.8,8.31,1.2,2.4,1.82,3.81,0
Batam,82.86,11.21,4.85,4.1,3.5,2.73,4.19,2
Batang,70.74,7.08,8.73,3.3,3.6,2.36,4.02,2
Batang Hari,71.67,8.35,8.63,3.1,3.3,2.18,4.31,2
Batu,78.79,9.87,3.06,3.7,3.4,2.36,4.07,2
Batu Bara,70.83,8.51,10.94,3,2.1,1,3.5,0
Bau Bau,78.13,11.03,7.4,3.1,2.4,2.45,3.69,2
Bekasi,76.44,9.76,4.8,4.7,3.5,3.09,4.57,2
Kota Bekasi,83.54,11.79,4.01,4.1,3.3,2.55,4.5,2
Belitung,74.47,9.05,6.11,3,2.8,3,3.88,2
Belitung Timur,73.19,8.99,6.36,4,4.2,3.09,4.57,2
Belu,64.43,7.5,13.86,3.5,1.5,1,3.25,0
Bener Meriah,75.01,10.13,18.18,2.4,1.8,1,3.82,0
Bengkalis,75.28,9.74,6.36,2.8,1.7,1.64,3.81,0
Bengkayang,70.3,7.41,6,3.3,2.8,1.36,3.88,0
Bengkulu,82.04,11.84,13.76,3,1.9,1.18,3.44,0
Bengkulu Selatan,72.35,9.42,17.1,3.1,1.7,1.55,3.93,0
Bengkulu Tengah,69.84,7.71,10.14,2.1,2.4,1.36,3.82,0
Bengkulu Utara,71.11,8.32,10.96,2.9,3,1.82,4.07,0
Berau,76.66,9.57,5.08,2.8,1.9,1,2.8,0
Biak Numfor,73.98,10.55,23.46,2.3717,1.3965,1.0761,3.248,0
Bima,68.94,8.3,13.88,2.9,1.8,1.18,3.3,0
Kota Bima,78.04,10.96,8.12,2.4,1.9,1,3.76,0
Binjai,78.1,11.2,4.75,3.3,2.8,1.73,3.75,2
Bintan,76.18,9.15,5.44,4,2.9,2,3.68,2
Bireuen,74.45,9.59,12.1,1.4,1.4,1.18,3.51,0
Bitung,75.71,9.96,6.27,3.9,3.4,2.18,3.51,2
Blitar,73.09,7.87,8.16,4.6,3,3.09,4.2,2
Kota Blitar,81.27,10.82,6.75,4.3,3.4,3.27,4.76,2
Blora,71.39,7.26,11.42,3.5,2.6,1.45,4.25,0
Boalemo,68.74,7.31,17.83,2,1.6,1.27,3.37,0
Bogor,72.39,8.39,7.05,4,3.9,3,4.64,2
Kota Bogor,78.52,10.71,6.53,4.1,3.9,3.64,4.33,2
Bojonegoro,71.78,7.59,11.69,4.6,4.1,2.64,4.57,2
Bolaang Mongondow,70.29,8.38,7.74,2.3,2.2,1,3.76,0
Bolaang Mongondow Selatan,67.14,8.28,11.33,2.7,2,1.82,3.31,0
Bolaang Mongondow Timur,68.53,8.29,5.87,3.3,2.4,1.09,3.68,0
Bolaang Mongondow Utara,69.32,8.61,7.88,2.1,1.5,1.27,3.25,0
Bombana,68.15,8.1,10.54,2.9,2.5,1.55,3.51,0
Bondowoso,68.65,6.53,12.6,4,4.2,3,3.95,2
Bone,68.36,7.55,9.58,3.3,2.6,2.18,3.82,0
Bone Bolango,72.38,8.52,14.8,3.7,2,1.36,3.95,0
Bontang,82.42,10.97,3.74,3.2,2.7,2.55,4.13,2
Boven Digoel,64.26,9.42,19.24,2,1.8,1,2.81,0
Boyolali,75.96,8.17,9.63,5,3.7,2.82,4.07,2
Brebes,68.46,6.41,15.6,2.8,2.3,1,3.82,0
Bukittinggi,82.51,11.65,4.08,1.1,1.6,1.09,3.88,0
Buleleng,74.52,7.69,5.39,3.7,3.5,2.36,4.26,2
Bulukumba,71.97,8.52,6.71,2.8,1.4,1,3.69,0
