Kab/Kota,IPM_2024,RLS_2024,P0_2024,D1_SPBE,D2_SPBE,D3_SPBE,D4_SPBE
Aceh Barat,73.69,9.99,17.6,3,1.7,1.18,3.68
Aceh Barat Daya,68.75,8.78,15.32,3,2.1,1.45,3.75
Aceh Besar,75.13,10.37,13.21,2.7,1.1,1,3.51
Aceh Jaya,71.83,9.02,12.25,3.5,1.7,1,3.56
Aceh Selatan,69.1,8.92,12.02,2.9,2.1,1,3.69
Aceh Singkil,70.75,8.72,19.06,3,1.2,1,3.13
Aceh Tamiang,72.32,9.3,12.17,2.3,2.1,1.27,4.01
Aceh Tengah,75.41,10.03,14.27,2.3,1.5,1,3.62
Aceh Tenggara,71.7,10.1,11.99,1,1.5,1,3.55
Aceh Timur,69.87,8.48,13.26,1.4,1.1,1,3.87
Aceh Utara,71.7,9.11,16.11,2.2,1.1,1,1.58
Agam,74.66,9.23,6.83,2.6,1.8,1.45,3.37
Alor,63.82,8.61,19.87,2.4,1.2,1,3.11
Asahan,72.09,8.85,8.12,2.9,2.1,1.82,3.64
Asmat,53.92,5.82,24.5,1,1.1,1,1
Badung,83.87,11.14,2.23,4.7,3.1,2.45,4.57
Balangan,71.34,8.13,4.87,4,2.8,1.64,4.07
Bandung,74.27,9.15,6.19,4.6,3.7,2.45,4.51
Bandung Barat,70.03,8.24,10.49,4.4,3.1,3.18,4.2
Banggai,72.32,8.81,6.56,5,2.9,2.18,4.07
Banggai Kepulauan,67.43,8.7,12.32,3.1,1.3,1.09,3.62
Banggai Laut,67.43,8.65,13.78,2,1.2,1.36,2.91
Bangka,73.98,8.45,4.24,2.5,1.8,1.36,3.95
Bangka Barat,70.67,7.48,2.59,3.8,2.5,2.18,3.69
Bangka Selatan,68.86,6.93,3.74,4.6,2.9,2.36,3.37
Bangka Tengah,71.9,7.24,5.94,4.7,4.3,2.55,4.31
Bangkalan,66.27,6.01,18.66,2.6,2.5,2,3.57
Bangli,71.34,7.58,5.06,2.2,2,1.09,3.82
Banjar,71.87,7.95,2.36,3,2,1,3.99
Banjarnegara,69.6,6.87,14.71,4.9,3.4,1.64,4.32
Bantaeng,71.48,7.26,8.26,4.9,3.3,1.82,4.13
Bantul,81.74,9.81,11.66,4,3.7,3.09,4.88
Banyu Asin,69.51,7.48,9.31,3.1,2.1,1,3.56
Banyumas,74.52,7.91,11.95,4.5,3.8,2.55,4.69
Banyuwangi,73.11,7.78,6.54,5,4.6,4.18,5
Barito Kuala,68.84,7.92,4.36,3.2,2.4,1.27,3.88
Barito Selatan,72.36,9.22,4.83,3.8,2.6,2.64,3.55
Barito Timur,73.26,9.54,6.66,3.1,1.7,1.73,3.75
Barito Utara,72.31,8.92,5.67,2.9,2.2,1.09,3.56
Barru,73.06,8.8,8.31,1.2,2.4,1.82,3.81
Batang,70.74,7.08,8.73,3.3,3.6,2.36,4.02
Batang Hari,71.67,8.35,8.63,3.1,3.3,2.18,4.31
Batu Bara,70.83,8.51,10.94,3,2.1,1,3.5
Bekasi,76.44,9.76,4.8,4.7,3.5,3.09,4.57
Belitung,74.47,9.05,6.11,3,2.8,3,3.88
Belitung Timur,73.19,8.99,6.36,4,4.2,3.09,4.57
Belu,64.43,7.5,13.86,3.5,1.5,1,3.25
Bener Meriah,75.01,10.13,18.18,2.4,1.8,1,3.82
Bengkalis,75.28,9.74,6.36,2.8,1.7,1.64,3.81
Bengkayang,70.3,7.41,6,3.3,2.8,1.36,3.88
Bengkulu Selatan,72.35,9.42,17.1,3.1,1.7,1.55,3.93
Bengkulu Tengah,69.84,7.71,10.14,2.1,2.4,1.36,3.82
Bengkulu Utara,71.11,8.32,10.96,2.9,3,1.82,4.07
Berau,76.66,9.57,5.08,2.8,1.9,1,2.8
Biak Numfor,73.98,10.55,23.46,2.371708354,1.396488961,1.076109974,3.247958071
Bima,68.94,8.3,13.88,2.9,1.8,1.18,3.3
Bintan,76.18,9.15,5.44,4,2.9,2,3.68
Bireuen,74.45,9.59,12.1,1.4,1.4,1.18,3.51
